method,selected_threshold,deploy_calibrated_method,eligible_for_deployment,decision_reason,val_accuracy,val_macro_f1,val_weighted_f1,val_esi5_f1,val_esi3_to_esi5_rate,val_brier_score,val_log_loss,test_accuracy,test_macro_f1,test_weighted_f1,test_esi5_f1,test_esi3_to_esi5_rate,test_brier_score,test_log_loss,val_macro_f1_delta_vs_raw,val_esi5_f1_delta_vs_raw,val_unsafe_delta_vs_raw,val_brier_delta_vs_raw,val_log_loss_delta_vs_raw
raw_lightgbm_probability,0.6,False,True,raw champion baseline,0.783884444732325,0.7058085239389529,0.7896068425809004,0.5523763336566441,0.006278358130209982,0.3134314238459031,0.5397266349015691,0.7832381174458825,0.7037018470872188,0.788775923531898,0.5469661610268378,0.006805735810832199,0.31171162166682964,0.5374974095988022,0.0,0.0,0.0,0.0,0.0
platt_calibrated_probability,0.5,False,False,Macro F1 not preserved; ESI 5 F1 not preserved,0.7958027010396088,0.697598259032934,0.7955171491627757,0.5102533172496985,0.0021631317927614225,0.28199184575011627,0.4809232314748067,0.7971512961019782,0.6949949740235812,0.7965536597854614,0.4980094100615273,0.003007185590832832,0.2811926698724968,0.48077859895021713,-0.008210264906018838,-0.0421230164069456,-0.00411522633744856,-0.031439578095786846,-0.058803403426762435
isotonic_calibrated_probability,0.5,False,False,ESI 5 F1 not preserved,0.7962561129643424,0.7040524520966116,0.7961767902068175,0.5337016574585636,0.0036403925292814183,0.28205072617585936,0.4767999547095121,0.79839493218297,0.7046526228311863,0.7980292352593057,0.5306799336650083,0.004020132316165997,0.28232142052138304,0.4794807664426082,-0.001756071842341278,-0.018674676198080498,-0.0026379656009285638,-0.031380697670043756,-0.06292668019205705
