feature,mean_abs_shap
cc_group_abdominal,0.33469584529908025
arrivalmode_ambulance,0.2013203631344511
age,0.1772399920805889
arrivalmode_Missing,0.14399291463459818
cc_group_cardiac,0.11435451055333655
n_admissions,0.10714755955831669
cc_group_neuro,0.10676184781485071
cc_abdominalpain,0.1028152166984683
n_edvisits,0.07449467529479792
cc_group_trauma,0.07355268892271816
cc_group_minor_msk_skin,0.06726490542888512
triage_vital_hr,0.04762389431406997
cc_shortnessofbreath,0.04415620224865062
cc_other,0.040796944606282214
arrivalmode_Car,0.039264911850441765
triage_vital_temp,0.029920640650458002
shock_index,0.028736586352506883
triage_vital_dbp,0.02848964619312098
triage_vital_rr,0.02568269149896239
cc_fall,0.024651663454899834
cc_dentalpain,0.02314906305217
mean_arterial_pressure,0.02257068841387205
cc_rash,0.02197462111665087
cc_sorethroat,0.019708948494619707
pulse_pressure,0.019470365835378922
cc_vaginalbleeding,0.01858266480587171
arrivalmode_Walk_in,0.01824734590086047
triage_vital_temp_missing_flag,0.018160762996194315
cc_suture_stapleremoval,0.01742740816412884
triage_vital_rr_missing_flag,0.01660387847381597
total_vitals_missing,0.0164234514927566
gender_Female,0.016256756404442983
cc_group_respiratory,0.015640400557836127
cc_legswelling,0.015609352858545521
cc_earpain,0.015243921669210661
cc_total_count,0.013537551768114942
triage_vital_o2,0.013512305283038624
triage_vital_sbp,0.012469640553748313
cc_backpain,0.010775649381469162
arrivalhour_bin_23_02,0.010592559285951573
arrivalhour_bin_19_22,0.010498643514285607
cc_legpain,0.010442963227207806
cc_flankpain,0.009854544164779964
triage_vital_o2_device_1_0,0.00961555864324327
cc_fall_65,0.00909334624124458
arrivalhour_bin_07_10,0.00904944934324801
cc_chestpain,0.008485594046018598
abnormal_vital_count,0.008470063118485213
cc_migraine,0.008247300442203787
cc_shoulderpain,0.008219477829245111
cc_medicationrefill,0.008192089945162306
arrivalhour_bin_11_14,0.008187674701587265
arrivalday_Tuesday,0.007916508938010857
cc_kneepain,0.007635520622215141
cc_weakness,0.007599372196799317
arrivalhour_bin_03_06,0.0075599261285580486
arrivalhour_bin_15_18,0.007559873617268723
cc_abscess,0.007505330033173893
cc_fever_9weeksto74years,0.007498415079858836
cc_fatigue,0.007498203396795543
cc_hypertension,0.006935879885141981
arrivalday_Friday,0.006800227864554543
cc_breathingdifficulty,0.0067570541326408395
cc_laceration,0.0066584688027430386
cc_giproblem,0.006630884716465856
cc_cough,0.006596639617525147
cc_femaleguproblem,0.006472032385215291
cc_dizziness,0.006417608337759175
cc_handpain,0.0057502630453385465
triage_vital_o2_device_Missing,0.0057387752724204774
cc_insectbite,0.005737513175203629
cc_gibleeding,0.005436224165638444
cc_neckpain,0.005341823882911953
cc_group_infection,0.004960808649488091
cc_hematuria,0.0048162646907649745
arrivalday_Wednesday,0.004672683971347384
cc_abnormallab,0.004661630434993929
cc_anklepain,0.00462573160801634
cc_dyspnea,0.0046203362935103515
cc_seizure_priorhxof,0.004439697830554336
cc_skinirritation,0.004425105568933404
