group_column,group_value,n,accuracy,macro_f1,weighted_f1,esi5_f1,esi3_to_esi5_rate
age_group_eval,65+,11129,0.8288255907988139,0.6775024490772452,0.8309440962643743,0.574468085106383,0.0035469107551487416
age_group_eval,45-64,16685,0.7747677554689841,0.6992329997210875,0.78152905355641,0.5501990269792127,0.0068073519400953025
age_group_eval,18-44,23648,0.7677604871447903,0.7029607481375462,0.771605272489137,0.5388103494265137,0.009070655633354551
gender,Male,20485,0.7709543568464731,0.6918757858132616,0.7758972731579155,0.5157593123209169,0.00741489720256151
gender,Female,30977,0.7913613326016077,0.7109018120178866,0.7971970850071736,0.5684055118110236,0.0064391826801196575
arrivalmode,Missing,2343,0.6534357661118224,0.42090150810460775,0.6026195692304966,0.7593719961550786,0.6075949367088608
arrivalmode,Wheelchair,106,0.839622641509434,0.4970827355332377,0.8429089629409058,0.0,0.0
arrivalmode,ambulance,12133,0.8532926728756285,0.514142862387113,0.8533470865762486,0.07936507936507936,0.0004892846658185732
arrivalmode,Other,391,0.7263427109974424,0.5684379760323571,0.732841143716098,0.35294117647058826,0.018050541516245487
arrivalmode,Car,23921,0.7692822206429497,0.6382864150844376,0.7709868392501072,0.3554430379746835,0.003734498308906426
arrivalmode,Walk-in,12249,0.7681443383133317,0.6632002911212188,0.7705179649810026,0.4073346430910282,0.008637976245565325
arrivalmode,Public Transportation,315,0.7523809523809524,0.6852129706993058,0.7586340584803131,0.509090909090909,0.0
primary_complaint_group_eval,cardiac,2865,0.9525305410122165,0.44680195787273824,0.9428441214148306,0.0,0.0
primary_complaint_group_eval,allergy,252,0.5555555555555556,0.4572462093876546,0.5670228577024725,0.35714285714285715,0.023809523809523808
primary_complaint_group_eval,minor_msk_skin,4481,0.7051997322026333,0.5690025565440261,0.672001566031766,0.44871794871794873,0.007668711656441718
primary_complaint_group_eval,abdominal,8939,0.9711377111533729,0.6152239159966207,0.9659264516651281,0.4444444444444444,0.0006993822123790652
primary_complaint_group_eval,neuro,3286,0.91661594643944,0.6212044378880078,0.9024290906344927,0.5151515151515151,0.0034071550255536627
primary_complaint_group_eval,trauma,6913,0.7374511789382323,0.6448188739627286,0.7247935077944283,0.48878923766816146,0.0024946543121881683
primary_complaint_group_eval,other_or_unknown,19119,0.6931324860086825,0.6556459309887054,0.6990677220455686,0.5562849501580355,0.013070601049608872
primary_complaint_group_eval,infection,2605,0.7067178502879079,0.6943756469705488,0.7117985291602942,0.6116322701688556,0.03854625550660793
primary_complaint_group_eval,respiratory,3002,0.7974683544303798,0.7099241676347939,0.8039988060317895,0.5962264150943396,0.005291005291005291
missing_vital_group_eval,0-2 missing vitals,38786,0.7796369824163358,0.6808941478078262,0.783571030701833,0.4669391680692474,0.004530011325028313
missing_vital_group_eval,3+ missing vitals,12676,0.7942568633638372,0.714108819128108,0.7989683325054722,0.6703744901742678,0.012857639291092321
